CodigoVenda,CodigoProduto,Descricao,Quantidade,ValorUnitario,ValorTotal
2,1,GERAL,1.0,1.0,1.0
3,1,GERAL,1.0,1.0,1.0
4,1,GERAL,1.0,1.0,1.0
5,1,GERAL,1.0,1.0,1.0
6,1,GERAL,1.0,1.0,1.0
7,1,GERAL,10.0,1.0,10.0
8,1,GERAL,12.0,1.0,12.0
9,1,GERAL,10.0,1.0,10.0
12,1,GERAL,10.0,1.0,10.0
13,1739,213 COTURNO ADVENT POLO TERRA 38,1.0,213.53,213.53
13,1747,203 COTURNO ADVENT ZEUS COBRE 38,1.0,116.47,116.47
14,1747,203 COTURNO ADVENT ZEUS COBRE 38,1.0,130.9,130.9
18,1738,213 COTURNO ADVENT POLO TERRA 37,1.0,215.99,215.99
19,1747,203 COTURNO ADVENT ZEUS COBRE 38,1.0,130.9,130.9
20,1747,203 COTURNO ADVENT ZEUS COBRE 38,1.0,130.9,130.9
20,1742,213 COTURNO ADVENT POLO TERRA 41,1.0,215.99,215.99
26,1748,203 COTURNO ADVENT ZEUS COBRE 39,1.0,215.99,215.99
28,1042,PISOS 32A01 A  32X62  2MTS CX,1.0,37.82,37.82
30,1754,015 BOTINA COUNTRY CAFE 37,1.0,163.19,163.19
31,1748,203 COTURNO ADVENT ZEUS COBRE 39,1.0,215.99,215.99
32,1751,203 COTURNO ADVENT ZEUS COBRE 42,10.0,215.99,2159.9
37,635,CAL HIDRATADA CH III 20 KG,2.0,18.89,37.78
38,1493,TUBOZAN RALO SIFONADO CONICO 100 X 45 X 40,1.0,19.11,19.11
38,788,KRONA JOELHO AZUL BUCHA LATAO 25MMX1/2,2.0,13.86,27.72
38,1534,TUBOZAN BUCHA REDUCAO ESGOTO 50 X 40,1.0,3.59,3.59
38,1623,TUBOZAN TE SOLD 25,2.0,2.62,5.24
39,333,LIXA D AGUA 80,1.0,2.66,2.66
39,2028,LIXA D AGUA GR100 225X275 - WORKER,3.0,1.88,5.64
39,1293,LIXA D AGUA GR220 225X275 - WORKER,2.0,2.04,4.08
41,1326,REBITE ALUMINIO 4;8MMX25MM 50PCS - WORKER,4.0,0.36,1.44
41,199,BROCA ACO RAPIDO 05.00MMX8.6CM,1.0,10.34,10.34
42,800,ARAME RECOZIDO LISO 18,2.0,25.123,50.25
45,763,AREIA MEDIA,1.0,69.65,69.65
45,635,CAL HIDRATADA CH III 20 KG,1.0,18.89,18.89
45,722,CIMENTO ITAU 50KG,3.0,44.226,132.68
46,152,"FERRO 8MM 4,7KG 12MT",14.0,48.9,684.6
46,157,"FERRO 5MM 1,88KG 12MT",10.0,22.9,229.0
46,153,"FERRO 4,2MM 1,3KG 12MT",10.0,16.9,169.0
46,1504,TUBOZAN JOELHO 45 ESGOTO 40,4.0,3.317,13.27
46,1496,TUBOZAN TUBO ESGOTO 40 SN  6M,1.0,35.98,35.98
47,332,LINHA PEDREIRO FIO 0.8 100M TRANSPARENTE,1.0,20.01,20.01
47,331,LINHA PEDREIRO FIO 0.8 100M LARANJA,1.0,20.01,20.01
48,1720,MULTILIT PERFIL  *U*6M BRC GELO,1.0,32.9,32.9
49,722,CIMENTO ITAU 50KG,8.0,44.9,359.2
