Codigo,Data,Hora,FormaParcelamento,TotalPedido
2,2022-04-22,0 days 14:06:00,001 - À VISTA,1.0
3,2022-04-22,0 days 14:08:00,007 - CARTÃO CRÉDITO,1.0
4,2022-04-22,0 days 14:13:00,007 - CARTÃO CRÉDITO,1.0
5,2022-04-23,0 days 07:59:00,001 - À VISTA,1.0
6,2022-04-23,0 days 08:17:00,001 - À VISTA,1.0
7,2022-04-23,0 days 08:19:00,001 - À VISTA,10.0
8,2022-04-23,0 days 08:25:00,001 - À VISTA,12.0
9,2022-04-23,0 days 08:41:00,001 - À VISTA,10.0
12,2022-04-23,0 days 09:09:00,001 - À VISTA,10.0
13,2022-04-27,0 days 15:10:00,001 - À VISTA,330.0
14,2022-04-27,0 days 15:15:00,001 - À VISTA,130.9
18,2022-04-27,0 days 15:53:00,001 - À VISTA,215.99
19,2022-04-27,0 days 15:56:00,001 - À VISTA,130.9
20,2022-04-27,0 days 16:25:00,001 - À VISTA,346.89
26,2022-04-27,0 days 17:18:00,004 - BOLETO 05 DIAS,215.99
28,2022-04-27,0 days 18:30:00,001 - À VISTA,37.82
30,2022-04-28,0 days 10:13:00,003 - CARTÃO DE DÉBITO,163.19
31,2022-04-28,0 days 10:18:00,001 - À VISTA,215.99
32,2022-04-28,0 days 12:02:00,001 - À VISTA,2159.9
37,2022-05-02,0 days 07:47:00,002 - CARTÃO DE CRÉDITO,37.78
38,2022-05-02,0 days 07:49:00,002 - CARTÃO DE CRÉDITO,55.66
39,2022-05-02,0 days 08:37:00,003 - CARTÃO DE DÉBITO,12.38
41,2022-05-02,0 days 08:50:00,003 - CARTÃO DE DÉBITO,11.78
42,2022-05-02,0 days 08:51:00,003 - CARTÃO DE DÉBITO,50.25
45,2022-05-02,0 days 09:02:00,023 - PIX,221.22
46,2022-05-02,0 days 09:29:00,003 - CARTÃO DE DÉBITO,1131.85
47,2022-05-02,0 days 09:36:00,001 - À VISTA,40.02
48,2022-05-02,0 days 10:08:00,023 - PIX,32.9
49,2022-05-02,0 days 10:20:00,003 - CARTÃO DE DÉBITO,359.2
52,2022-05-02,0 days 10:33:00,003 - CARTÃO DE DÉBITO,68.26
55,2022-05-02,0 days 10:50:00,023 - PIX,1034.7
57,2022-05-02,0 days 11:27:00,002 - CARTÃO DE CRÉDITO,435.0
58,2022-05-02,0 days 13:06:00,023 - PIX,2000.0
59,2022-05-02,0 days 13:11:00,023 - PIX,65.8
60,2022-05-02,0 days 13:34:00,003 - CARTÃO DE DÉBITO,20.32
61,2022-05-02,0 days 13:41:00,001 - À VISTA,45.9
63,2022-05-02,0 days 14:10:00,003 - CARTÃO DE DÉBITO,26.51
64,2022-05-02,0 days 14:24:00,003 - CARTÃO DE DÉBITO,170.89
66,2022-05-02,0 days 14:59:00,001 - À VISTA,129.49
67,2022-05-02,0 days 15:01:00,001 - À VISTA,589.0
68,2022-05-02,0 days 15:13:00,023 - PIX,46.85
69,2022-05-02,0 days 15:55:00,003 - CARTÃO DE DÉBITO,7.56
71,2022-05-02,0 days 15:57:00,003 - CARTÃO DE DÉBITO,109.9
72,2022-05-02,0 days 16:11:00,003 - CARTÃO DE DÉBITO,21.9
73,2022-05-02,0 days 16:24:00,002 - CARTÃO DE CRÉDITO,65.73
74,2022-05-02,0 days 16:44:00,003 - CARTÃO DE DÉBITO,71.81
75,2022-05-02,0 days 16:46:00,001 - À VISTA,11.2
76,2022-05-02,0 days 16:59:00,001 - À VISTA,24.13
77,2022-05-02,0 days 17:17:00,001 - À VISTA,100.0
78,2022-05-03,0 days 07:11:00,001 - À VISTA,96.47
80,2022-05-03,0 days 07:21:00,003 - CARTÃO DE DÉBITO,2495.0
81,2022-05-03,0 days 07:31:00,023 - PIX,2040.0
82,2022-05-03,0 days 07:35:00,003 - CARTÃO DE DÉBITO,438.7
83,2022-05-03,0 days 07:41:00,002 - CARTÃO DE CRÉDITO,106.89
84,2022-05-03,0 days 07:44:00,003 - CARTÃO DE DÉBITO,145.3
85,2022-05-03,0 days 07:54:00,003 - CARTÃO DE DÉBITO,38.08
86,2022-05-03,0 days 07:57:00,002 - CARTÃO DE CRÉDITO,19.51
87,2022-05-03,0 days 07:58:00,003 - CARTÃO DE DÉBITO,37.79
88,2022-05-03,0 days 08:01:00,023 - PIX,24.06
